index,names,corr,signal
638,FMF,0.0536022146369521,-1
475,maxHBint9,0.0528029709558184,1
237,SHBint9,0.0520752979913341,1
63,C4SP3,0.0520162419299341,-1
503,maxsCH3,0.0517120922888221,1
352,minHBint5,0.0513454742822863,1
384,minsCH3,0.0510185314960669,1
657,MDEC.13,0.0509576877287768,-1
18,nCl,0.0505613464223467,-1
198,nsCl,0.0505613464223467,-1
317,SsCl,0.0505045798689166,-1
250,SHdsCH,0.0500774396093475,-1
555,maxsCl,0.0500109641208354,-1
195,nddssS,0.0499703750134622,-1
115,nHBint6,0.0499291230537157,1
436,minsCl,0.0497359280484744,-1
656,MDEC.12,0.0496611274932825,1
655,MDEC.11,0.0491783658358694,-1
314,SddssS,0.0481868792883265,1
433,minddssS,0.0481868792883265,1
77,SC.6,0.0479426525015425,-1
666,MDEO.12,0.0473357459341163,-1
118,nHBint9,0.0467104229716641,1
673,MDEN.33,0.0441958981320433,1
634,ETA_Eta_B,0.0422661277651099,1
79,VC.4,0.0418848695885767,-1
277,SssssC,0.0416893145622652,-1
340,SsI,0.0410689951303798,1
20,nI,0.0410631518748539,-1
221,nsI,0.0410631518748539,-1
459,minsI,0.0410403232873631,1
81,VC.6,0.0401536162202523,-1
651,nAtomP,0.0400188941196159,-1
76,SC.5,0.0393886240463684,-1
396,minssssC,0.0393402358696873,-1
75,SC.4,0.038501601356729,-1
306,SdsssP,0.0374448776982696,1
425,mindsssP,0.0374448776982696,1
16,nP,0.0374439057694052,-1
187,ndsssP,0.0374439057694052,-1
471,maxHBint5,0.0370144411090772,1
587,gmin,0.0368712568609387,-1
607,ETA_dEpsilon_D,0.0361917991785179,-1
700,nF10Ring,0.0360146036564247,1
711,nT10Ring,0.0360146036564247,1
345,minHBd,0.0350109787022308,1
349,minHBint2,0.033340163373812,-1
482,maxHaaNH,0.0326922919995081,-1
363,minHaaNH,0.0326578364836732,-1
244,SHaaNH,0.0323654497291298,-1
697,nF7Ring,0.0314463491652857,1
693,nFRing,0.0308995165964713,1
157,naaaC,0.0301546981970704,-1
23,ATSc2,0.0298733559355669,1
125,nHaaNH,0.0298252718563453,-1
164,naaNH,0.0298252718563453,-1
171,naasN,0.0293353247287698,-1
265,SsCH3,0.0287474740692672,-1
682,n3Ring,0.0280708276909159,1
64,SCH.3,0.0279388790343501,1
69,VCH.3,0.0279388790343501,1
283,SaaNH,0.0272605857644715,-1
521,maxaaNH,0.0271116152568832,-1
194,ndssS,0.027102251525689,1
313,SdssS,0.027102251525689,-1
432,mindssS,0.027102251525689,-1
402,minaaNH,0.0270381028667509,-1
39,BCUTw.1h,0.0267136005985204,1
628,ETA_EtaP_F,0.0264099889046313,-1
658,MDEC.14,0.0260916176642531,-1
355,minHBint8,0.0259234242008177,1
193,naaS,0.0252810825466359,-1
642,nHBAcc3,0.0250247498798578,1
691,n12Ring,0.0248700690020717,-1
591,DELS,0.0240173329680634,1
122,nHsSH,0.0238033623093697,-1
190,nsSH,0.0238033623093697,-1
241,SHsSH,0.0238033623093697,-1
309,SsSH,0.0238033623093697,-1
360,minHsSH,0.0238033623093697,-1
428,minsSH,0.0238033623093697,-1
479,maxHsSH,0.0238033623093697,-1
547,maxsSH,0.0238033623093697,-1
528,maxaasN,0.0230690347958788,-1
290,SaasN,0.0230002925301015,-1
409,minaasN,0.0228679709958682,-1
233,SHBint5,0.0211904947814997,1
663,MDEC.34,0.020535795107413,-1
594,DELS2,0.0202621145472403,1
21,nX,0.0185223485042926,1
236,SHBint8,0.0184845119113291,1
713,nT12Ring,0.0174815954790208,-1
350,minHBint3,0.0170092057398044,-1
692,nG12Ring,0.0169434734805631,1
158,nssssC,0.0165776545162758,-1
687,n8Ring,0.0156272861273808,-1
312,SaaS,0.015225001872075,1
702,nF12Ring,0.0147825733548465,-1
589,MAXDN,0.0129423690527626,-1
114,nHBint5,0.0128490166359052,1
474,maxHBint8,0.0115721630133582,1
661,MDEC.24,0.0104577970330011,-1
22,ATSc1,0.00960481509402912,-1
431,minaaS,0.00922309519251455,1
276,SaaaC,0.00901036508702492,-1
172,nssssNp,0.00835586909283268,1
291,SssssNp,0.00835586909283268,1
410,minssssNp,0.00835586909283268,1
529,maxssssNp,0.00835586909283268,1
709,nT8Ring,0.00733527218970555,-1
56,C2SP1,0.00579696556219706,-1
268,StCH,0.00481680655194181,-1
387,mintCH,0.00481680655194181,-1
506,maxtCH,0.00481680655194181,-1
129,nHtCH,0.00475282554756197,-1
